,latitud,longitud,property_rooms,property_surface_total,property_type_Departamento,property_type_PH
173804,-34.616891,-58.424771,4.0,73.0,1,0
210173,-34.541616,-58.4733768,2.0,54.0,1,0
55374,-34.6251258085,-58.4542578656,1.0,40.0,1,0
186083,-34.6141095,-58.4277921,3.0,74.0,1,0
338077,-34.6158761,-58.5084775,4.0,185.0,0,1
68926,-34.6121972,-58.4917248,1.0,34.0,1,0
399595,-34.599918,-58.440482,5.0,135.0,1,0
459407,-34.5868272,-58.423583,3.0,48.0,1,0
50498,-34.6032811,-58.3954327,1.0,23.0,1,0
168143,-34.6153707,-58.3869267,2.0,57.0,1,0
27493,-34.6123982,-58.4267032,3.0,72.0,1,0
310730,-34.604997,-58.4533882,2.0,42.0,1,0
436737,-34.5797634,-58.480884,2.0,55.0,1,0
39840,-34.6000319,-58.4379002,3.0,63.0,1,0
190099,-34.5752248,-58.4842584,2.0,57.0,1,0
114725,-34.6014654,-58.424287,1.0,50.0,1,0
279037,-34.5906469,-58.3924152,2.0,94.2,1,0
17210,-34.592250424143465,-58.45467007261041,2.0,48.2,1,0
125105,-34.5944312,-58.4055248,1.0,25.0,1,0
50533,-34.60514,-58.4636684,1.0,36.0,1,0
428593,-34.6182859,-58.4427103,3.0,181.0,0,0
307747,-34.5566408,-58.4699497,3.0,77.0,1,0
422124,-34.5838884,-58.4088319,2.0,46.0,1,0
201712,-34.5879722,-58.4229161,2.0,34.0,1,0
133241,-34.5887388,-58.4123451,2.0,54.0,1,0
145969,-34.6089179,-58.377604,3.0,131.0,1,0
411249,-34.581682,-58.4226071,4.0,128.0,1,0
54163,-34.608671,-58.4829425,1.0,37.0,1,0
167915,-34.5914877,-58.3860169,3.0,130.0,1,0
183795,-34.5634021,-58.4639903,2.0,50.0,1,0
311682,-34.5795573,-58.433152,1.0,33.0,1,0
111242,-34.6127425,-58.4066471,3.0,45.0,1,0
231130,-34.600571,-58.437688,4.0,122.0,1,0
453272,-34.5811566,-58.4510691,2.0,63.0,1,0
204729,-34.5758639434,-58.4072107237,6.0,212.0,1,0
270817,-34.5639574678,-58.4637459741,4.0,99.0,1,0
149677,-34.6045182067,-58.3834754862,5.0,143.0,1,0
123582,-34.6203801806,-58.4553605318,3.0,83.0,1,0
79686,-34.5786632,-58.4650706,2.0,82.0,0,1
301511,-34.6392351,-58.4326046,4.0,187.0,0,1
339859,-34.593289,-58.399491,2.0,38.0,1,0
452360,-34.5504763,-58.4967396,4.0,215.0,0,0
33038,-34.62894,-58.459695,5.0,266.0,1,0
174352,-34.6221565,-58.4441584,3.0,140.0,1,0
118915,-34.5875659479,-58.3895758794,4.0,127.0,1,0
141736,-34.6302073,-58.3611208,4.0,210.0,1,0
211494,-34.5636463,-58.4831988,2.0,62.0,1,0
319114,-34.587037546505954,-58.44447248170678,5.0,258.0,1,0
272811,-34.597851,-58.410105,2.0,55.0,1,0
261997,-34.5740924,-58.4322558,2.0,37.0,1,0
